"city","IATA_code","lat","lon","lat_min","lat_max","lon_min","lon_max"
"Lilongwe","LLW",-13.973456,33.7878122,-14.133456,-13.813456,33.6278122,33.9478122
"Lome","LFW",45.1015743,4.7977687,45.0815743,45.1215743,4.7777687,4.8177687
"London","LHR",51.5073219,-0.1276474,51.3473219,51.6673219,-0.2876474,0.0323526
"Los Angeles","LAX",34.054935,-118.244476,33.7036216,34.337306,-118.6681867,-118.1552947
"Luanda","LAD",-8.8272699,13.2439512,-8.9872699,-8.6672699,13.0839512,13.4039512
"Lubumbashi","FBM ",-11.6642316,27.4826264,-11.8242316,-11.5042316,27.3226264,27.6426264
"Lusaka","LUN",-15.4164488,28.2821535,-15.5764488,-15.2564488,28.1221535,28.4421535
"Madrid","MAD",40.4167047,-3.7035825,40.3119774,40.6437293,-3.8889539,-3.5179163
"Malabo","SSG",3.752828,8.780061,3.592828,3.912828,8.620061,8.940061
"Manila","MNL",14.5906216,120.9799696,14.5569999,14.6390027,120.9416919,121.0261672
"Maputo","MPM",-26.0476384,32.7940489150237,-26.2873792,-25.8075356,32.4399695,32.9963753
"Mbuji-Mayi","MJM",-6.1258942,23.5998111,-6.2858942,-5.9658942,23.4398111,23.7598111
"Mekelle","MQX",13.5011216,39.4757557,13.3411216,13.6611216,39.3157557,39.6357557
"Milan","MXP",45.4667971,9.1904984,45.3867381,45.5358482,9.0408867,9.2781103
"Mombassa","MBA",51.905271,4.4589451,51.905221,51.905321,4.4588951,4.4589951
"Monrovia","ROB",6.328034,-10.797788,6.168034,6.488034,-10.957788,-10.637788
"Moroni","HAH",-11.6931255,43.2543044,-11.8531255,-11.5331255,43.0943044,43.4143044
"Mumbai","BOM",19.1334321,72.8882172,18.8939566,19.2701767,72.776333,72.9797315
"Munich","MUC",48.1371079,11.5753822,48.0616244,48.2481162,11.360777,11.7229083
"Muscat","MCT",18.3717337,-72.2862809,18.3617337,18.3817337,-72.2962809,-72.2762809
"N'Djamena","NDJ",8.2128,17.2543833,8.1928,8.2328,17.2343833,17.2743833
"Nairobi","NBO",-1.2832533,36.8172449,-1.444471,-1.163332,36.6641288,37.1038871
"Ndola","NLA",-12.9693056,28.6365894,-13.1293056,-12.8093056,28.4765894,28.7965894
"New Delhi","DEL",28.6141793,77.2022662,28.4812633,28.6456842,77.0485147,77.2410749
"New York","EWR",40.7306458,-73.9866136,40.477399,40.9161785,-74.25909,-73.7001809
"Niamey","NIM",13.4998139,2.10948597212168,13.4045309,13.6042113,1.9795201,2.2336504
"Nosy Be","NOS",-24.77989665,47.2052734696274,-24.7824111,-24.7773308,47.2038997,47.2075011
"Ouagadougou","OUA",12.368148,-1.527085,12.208148,12.528148,-1.687085,-1.367085
"Paris","CDG",48.8566101,2.3514992,48.8155755,48.902156,2.224122,2.4697602
"Riyadh","RUH",-29.6477778,31.0633333,-29.6677778,-29.6277778,31.0433333,31.0833333
"Rome","FCO",34.257038,-85.1646726,34.097038,34.417038,-85.3246726,-85.0046726
"Sao Paulo ","GRU",-23.5506507,-46.6333824,-24.007,-23.357,-46.8264087,-46.3650898
"Semera","SZE",49.0913506,21.1606879,49.0813506,49.1013506,21.1506879,21.1706879
"Seoul","ICN",37.5666791,126.9782914,37.4285424,37.7013911,126.7641585,127.1832695
"Seychelles","SEZ",25.2244645,55.1828800434721,25.2237725,25.2250726,55.1816849,55.184065
"Shanghai","PVG",39.4414872,-78.1322246,39.4214872,39.4614872,-78.1522246,-78.1122246
"Shire","SHC",-15.4492632,34.8623741,-15.4526137,-15.4461609,34.8616875,34.8640049
"Singapore","SIN",1.2904753,103.8520359,1.1304753,1.4504753,103.6920359,104.0120359
"Stockholm","ARN",59.3251172,18.0710935,59.1651172,59.4851172,17.9110935,18.2310935
"Tel Aviv","TLV",11.4797028,-85.6661002,11.4597028,11.4997028,-85.6861002,-85.6461002
"Tokyo","HND",34.6968642,139.4049033,20.2145811,35.8984245,135.8536855,154.205541
"Toronto","YYZ",43.653963,-79.387207,43.5802533,43.8554425,-79.6392727,-79.1132193
"Victoria Falls","VFA",-17.9228958,25.8476659,-17.9229062,-17.9228866,25.8473425,25.8478783
"Vienna","VIE",38.9013729,-77.2651762,38.878494,38.9218319,-77.284763,-77.241265
"Washington DC","IAD",38.8949549,-77.0366456,38.7916303,38.9958524,-77.1197663,-76.909366
"Windhoek","WDH",-22.5530386,17.0543787928491,-22.6385654,-22.4708291,17.0042871,17.130152
"Yaounde","YAO",3.8689867,11.5213344,3.7089867,4.0289867,11.3613344,11.6813344
"Zanzibar","ZNZ",-6.0988563,39.3204591014229,-6.4783008,-4.8643342,39.1817434,39.8761552
